UF,Municipio,IBGE,IBGE7,UF,Município,latitude,longitude,Região,População 2010,Porte,BOTULISMO,LEISHMANIOSE VISCERAL,LEISHMANIOSE TEGUMENTAR,FEBRE AMARELA,DENGUE,HEPATITE VIRAL,FEBRE MACULOSA,LEPTOSPIROSE,DOENÇA DE CHAGAS,PICADAS DE COBRAS,ZIKA VÍRUS,FEBRE TIFÓIDE,HANTAVIROSE,MENINGITE,RAIVA
BA,Alcobaça,290080,2900801,BA,Alcobaça,"-17,5195","-39,2036",Região Nordeste,21271,Pequeno II,0,0,0,0,35,4,0,0,0,19,0,0,0,0,0
MA,Aldeias Altas,210030,2100303,MA,Aldeias Altas,"-4,62621","-43,4689",Região Nordeste,23952,Pequeno II,0,1,1,0,1,0,0,0,0,21,0,0,0,0,0
RS,Alecrim,430030,4300307,RS,Alecrim,"-27,6579","-54,7649",Região Sul,7045,Pequeno I,0,0,0,0,5,3,0,1,0,3,0,0,0,0,0
ES,Alegre,320020,3200201,ES,Alegre,"-20,758","-41,5382",Região Sudeste,30768,Pequeno II,0,0,0,0,8,2,0,4,0,3,1,0,0,0,0
RS,Alegrete,430040,4300406,RS,Alegrete,"-29,7902","-55,7949",Região Sul,77653,Médio,0,0,0,0,1,90,0,2,0,13,1,0,0,0,0
PI,Alegrete do Piauí,220027,2200277,PI,Alegrete do Piauí,"-7,24196","-40,8566",Região Nordeste,5153,Pequeno I,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
RS,Alegria,430045,4300455,RS,Alegria,"-27,8345","-54,0557",Região Sul,4301,Pequeno I,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0
MG,Além Paraíba,310150,3101508,MG,Além Paraíba,"-21,8797","-42,7176",Região Sudeste,34349,Pequeno II,0,0,4,0,32,4,0,3,0,33,6,0,0,1,0
PA,Alenquer,150040,1500404,PA,Alenquer,"-1,94623","-54,7384",Região Norte,52626,Médio,0,1,48,0,44,8,0,0,1,58,1,0,0,0,0
RN,Alexandria,240050,2400505,RN,Alexandria,"-6,40533","-38,0142",Região Nordeste,13507,Pequeno I,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0
GO,Alexânia,520030,5200308,GO,Alexânia,"-16,0834","-48,5076",Região Centro-Oeste,23814,Pequeno II,0,0,1,0,262,5,0,0,0,33,1,0,0,0,0
